,categories
0,3dprinting
1,abruzzese
2,absinthebars
3,acaibowls
4,accessories
5,accountants
6,acnetreatment
7,active
8,acupuncture
9,addictionmedicine
10,adoptionservices
11,adult
12,adultedu
13,adultentertainment
14,advertising
15,aerialfitness
16,aerialtours
17,aestheticians
18,afghani
19,african
20,afrobrazilian
21,agriturismi
22,aircraftdealers
23,aircraftrepairs
24,airductcleaning
25,airlines
26,airport_shuttles
27,airportlounges
28,airports
29,airportterminals
30,airsoft
31,alentejo
32,algarve
33,allergist
34,alsatian
35,alternativemedicine
36,altoatesine
37,amateursportsteams
38,amusementparks
39,andalusian
40,anesthesiologists
41,animalassistedtherapy
42,animalholistic
43,animalphysicaltherapy
44,animalshelters
45,antiques
46,apartmentagents
47,apartments
48,appliances
49,appraisalservices
50,apulian
51,aquariums
52,aquariumservices
53,arabian
54,arabpizza
55,arcades
56,archery
57,architects
58,architecturaltours
59,argentine
60,armenian
61,arroceria_paella
62,artclasses
63,artconsultants
64,artificialturf
65,artinstallation
66,artmuseums
67,artrestoration
68,arts
69,artsandcrafts
70,artschools
71,artspacerentals
72,artsupplies
73,arttours
74,asianfusion
75,assistedliving
76,astrologers
77,asturian
78,ateliers
79,attractionfarms
80,atvrentals
81,auctionhouses
82,audiologist
83,audiovisualequipmentrental
84,australian
85,austrian
86,authorized_postal_representative
87,auto
88,auto_detailing
89,autocustomization
90,autodamageassessment
91,autoelectric
92,autoglass
93,autoinsurance
94,autoloanproviders
95,autopartssupplies
96,autorepair
97,autosecurity
98,autoupholstery
99,auvergnat
100,aviationservices
101,awnings
102,axethrowing
103,ayurveda
104,azores
105,baby_gear
106,backflowservices
107,backshop
108,baden
109,badminton
110,bagels
111,baguettes
112,bailbondsmen
113,bakeries
114,balloonservices
115,bangladeshi
116,bankruptcy
117,banks
118,barbers
119,barcrawl
120,barreclasses
121,bars
122,bartenders
123,bartendingschools
124,baseballfields
125,basketballcourts
126,basque
127,bathing_area
128,batterystores
129,battingcages
130,bavarian
131,bbq
132,beachbars
133,beachequipmentrental
134,beaches
135,beachvolleyball
136,beautysvc
137,bedbreakfast
138,beer_and_wine
139,beerbar
140,beergarden
141,beergardens
142,beerhall
143,beertours
144,behavioranalysts
145,beira
146,beisl
147,belgian
148,bento
149,berrichon
150,bespoke
151,bettingcenters
152,beverage_stores
153,bicyclepaths
154,bicycles
155,bike_repair_maintenance
156,bikeassociations
157,bikeparking
158,bikerentals
159,bikerepair
160,bikes
161,bikesharing
162,bikeshop
163,biketours
164,billingservices
165,bingo
166,biohazardcleanup
167,birdshops
168,bistros
169,blacksea
170,blinds
171,blooddonation
172,blowfish
173,blowoutservices
174,boatcharters
175,boatdealers
176,boating
177,boatpartsandsupplies
178,boatrepair
179,boattours
180,bobsledding
181,bocceball
182,bodycontouring
183,bodyshops
184,bookbinding
185,bookkeepers
186,bookstores
187,bootcamps
188,boudoirphotography
189,bouncehouserentals
190,bourguignon
191,bowling
192,boxing
193,brasseries
194,brazilian
195,brazilianempanadas
196,brazilianjiujitsu
197,breakfast_brunch
198,breweries
199,brewingsupplies
200,brewpubs
201,bridal
202,british
203,bubblesoccer
204,bubbletea
205,buddhist_temples
206,buffets
207,buildingsupplies
208,bulgarian
209,bulkbilling
210,bungeejumping
211,burgers
212,burmese
213,buses
214,businessconsulting
215,businessfinancing
216,businesslawyers
217,busrental
218,busstations
219,bustours
220,butcher
221,c_and_mh
222,cabaret
223,cabinetry
224,cablecars
225,cafes
226,cafeteria
227,cajun
228,cakeshop
229,calabrian
230,calligraphy
231,cambodian
232,campgrounds
233,candlestores
234,candy
235,cannabis_clinics
236,cannabiscollective
237,cannabisdispensaries
238,cannabisreferrals
239,cannabistours
240,canteen
241,cantonese
242,canyoneering
243,car_dealers
244,carauctions
245,carbrokers
246,carbuyers
247,cardioclasses
248,cardiology
249,careercounseling
250,caribbean
251,caricatures
252,carousels
253,carpenters
254,carpet_cleaning
255,carpetdyeing
256,carpeting
257,carpetinstallation
258,carrental
259,carshares
260,carwash
261,carwindowtinting
262,casinos
263,castles
264,catalan
265,catering
266,cellphoneaccessories
267,centralbrazilian
268,ceremonialclothing
269,challengecourses
270,champagne_bars
271,chech
272,cheekufta
273,cheerleading
274,cheese
275,cheesesteaks
276,cheesetastingclasses
277,chicken_wings
278,chickenshop
279,childbirthedu
280,childcare
281,childcloth
282,childproofing
283,childrensmuseums
284,chilean
285,chimneycakes
286,chimneysweeps
287,chinese
288,chinesebazaar
289,chinesemartialarts
290,chiropractors
291,chocolate
292,choirs
293,christmastrees
294,churches
295,churros
296,cideries
297,cigarbars
298,circuittraininggyms
299,circusschools
300,civiccenter
301,climbing
302,clockrepair
303,clothingrental
304,clowns
305,clubcrawl
306,cocktailbars
307,coffee
308,coffeeroasteries
309,coffeeshops
310,coffeeteasupplies
311,collegecounseling
312,collegeuniv
313,colombian
314,colonics
315,comedyclubs
316,comfortfood
317,comicbooks
318,commercialrealestate
319,commissionedartists
320,communitybookbox
321,communitycenters
322,communitygardens
323,computers
324,concept_shops
325,conciergemedicine
326,condominiums
327,congee
328,consumerlaw
329,contractlaw
330,contractors
331,convenience
332,conveyorsushi
333,cookingclasses
334,cookingschools
335,copyshops
336,corsican
337,cosmeticdentists
338,cosmetics
339,cosmeticsurgeons
340,cosmetology_schools
341,costumes
342,countertopinstall
343,countryclubs
344,countrydancehalls
345,couriers
346,courthouses
347,courtreporters
348,cprclasses
349,craneservices
350,cremationservices
351,creperies
352,criminaldefense
353,crisispregnancycenters
354,cryotherapy
355,csa
356,cuban
357,cucinacampana
358,culturalcenter
359,cupcakes
360,currencyexchange
361,currysausage
362,customcakes
363,custommerchandise
364,customsbrokers
365,cyclingclasses
366,cypriot
367,czech
368,czechslovakian
369,dagashi
370,damagerestoration
371,dance_schools
372,danceclubs
373,dancerestaurants
374,dancestudio
375,dancewear
376,danish
377,dartarenas
378,datarecovery
379,daycamps
380,debtrelief
381,decksrailing
382,delicatessen
383,delis
384,demolitionservices
385,dentalhygeiniststorefront
386,dentalhygienists
387,dentalhygienistsmobile
388,dentists
389,departmentsofmotorvehicles
390,deptstores
391,dermatology
392,desserts
393,diagnosticimaging
394,diagnosticservices
395,dialysisclinics
396,diamondbuyers
397,dietitians
398,digitizingservices
399,dimsum
400,diners
401,dinnertheater
402,disabilitylaw
403,discgolf
404,discountstore
405,distilleries
406,divebars
407,diveshops
408,diving
409,divorce
410,diyautoshop
411,diyfood
412,djs
413,dog_parks
414,dogwalkers
415,dolmusstation
416,dominican
417,donairs
418,donationcenter
419,donburi
420,donuts
421,doorsales
422,doulas
423,dramaschools
424,driedfruit
425,driveintheater
426,drivethrubars
427,driving_schools
428,drones
429,drugstores
430,dryclean
431,drycleaninglaundry
432,drywall
433,duilawyers
434,duischools
435,dumplings
436,dumpsterrental
437,duplicationservices
438,dutyfreeshops
439,earnosethroat
440,eastern_european
441,easterngerman
442,easternmexican
443,eatertainment
444,editorialservices
445,education
446,educationservices
447,egyptian
448,eldercareplanning
449,elderlaw
450,electricians
451,electricitysuppliers
452,electronics
453,electronicsrepair
454,elementaryschools
455,elevatorservices
456,eltern_cafes
457,embassy
458,embroideryandcrochet
459,emergencymedicine
460,emergencypethospital
461,emergencyrooms
462,emilian
463,empanadas
464,employmentagencies
465,employmentlawyers
466,emstraining
467,endocrinologists
468,endodontists
469,engraving
470,entertainmentlaw
471,enviroabatement
472,environmentaltesting
473,eritrean
474,eroticmassage
475,escapegames
476,estateliquidation
477,estatephotography
478,estateplanning
479,estheticians
480,ethicgrocery
481,ethiopian
482,ethnicgrocery
483,ethnicmarkets
484,evchargingstations
485,eventphotography
486,eventplanning
487,eventservices
488,excavationservices
489,experiences
490,eyebrowservices
491,eyelashservice
492,fabricstores
493,facepainting
494,fado_houses
495,faithbasedcpc
496,falafel
497,familydr
498,farmequipmentrepair
499,farmersmarket
500,farmingequipment
501,farms
502,farriers
503,fashion
504,fasil
505,fencesgates
506,fencing
507,fengshui
508,ferries
509,fertility
510,festivals
511,filipino
512,financialadvising
513,financialservices
514,fingerprinting
515,firearmtraining
516,firedepartments
517,fireplace
518,fireprotection
519,firewood
520,fireworks
521,firstaidclasses
522,fischbroetchen
523,fishing
524,fishmonger
525,fishnchips
526,fitness
527,fitnessequipment
528,flatbread
529,fleamarkets
530,flemish
531,flightinstruction
532,floatspa
533,flooring
534,floraldesigners
535,florists
536,flowers
537,flowersonly
538,flyboarding
539,fondue
540,food
541,food_court
542,foodbanks
543,fooddeliveryservices
544,foodsafety
545,foodstands
546,foodtours
547,foodtrucks
548,football
549,footcare
550,forestry
551,formalwear
552,foundationrepair
553,framing
554,franconian
555,freediving
556,freiduria
557,french
558,friterie
559,friulan
560,frozenfood
561,fueldocks
562,funeralservices
563,funfair
564,furclothing
565,furniture
566,furnitureassembly
567,furniturerepair
568,fuzhou
569,galician
570,galleries
571,gamemeat
572,gametruckrental
573,garage_door_services
574,gardeners
